seller_id,month_index,revenue
01ed254b9ff8407dfb9d99ba1e17d923,12,352.94
01ed254b9ff8407dfb9d99ba1e17d923,13,359.64
01ed254b9ff8407dfb9d99ba1e17d923,14,115.44
01fd077212124329bac32490e8ef80d9,19,322.91
01fd077212124329bac32490e8ef80d9,20,325.68
01fd077212124329bac32490e8ef80d9,21,118.37
01fd077212124329bac32490e8ef80d9,22,364.62
01fd077212124329bac32490e8ef80d9,23,651.78
01fdefa7697d26ad920e9e0346d4bd1b,7,80.56
01fdefa7697d26ad920e9e0346d4bd1b,8,414.85
01fdefa7697d26ad920e9e0346d4bd1b,9,460.20000000000005
01fdefa7697d26ad920e9e0346d4bd1b,10,1595.97
01fdefa7697d26ad920e9e0346d4bd1b,11,1238.8
01fdefa7697d26ad920e9e0346d4bd1b,12,948.34
01fdefa7697d26ad920e9e0346d4bd1b,13,1059.78
01fdefa7697d26ad920e9e0346d4bd1b,14,1366.61
01fdefa7697d26ad920e9e0346d4bd1b,15,2318.55
01fdefa7697d26ad920e9e0346d4bd1b,16,1941.0400000000002
01fdefa7697d26ad920e9e0346d4bd1b,17,894.4000000000001
01fdefa7697d26ad920e9e0346d4bd1b,18,657.72
01fdefa7697d26ad920e9e0346d4bd1b,19,485.04
01fdefa7697d26ad920e9e0346d4bd1b,20,363.66999999999996
01fdefa7697d26ad920e9e0346d4bd1b,21,863.97
01fdefa7697d26ad920e9e0346d4bd1b,22,760.2
01fdefa7697d26ad920e9e0346d4bd1b,23,2240.37
0241d4d5d36f10f80c644447315af0bd,13,171.74
0241d4d5d36f10f80c644447315af0bd,14,882.81
0241d4d5d36f10f80c644447315af0bd,15,1039.01
0241d4d5d36f10f80c644447315af0bd,16,3764.38
0241d4d5d36f10f80c644447315af0bd,17,4190.22
0241d4d5d36f10f80c644447315af0bd,18,3155.72
0241d4d5d36f10f80c644447315af0bd,19,3407.45
0241d4d5d36f10f80c644447315af0bd,20,5025.07
0241d4d5d36f10f80c644447315af0bd,21,6385.070000000001
0241d4d5d36f10f80c644447315af0bd,22,6305.65
0241d4d5d36f10f80c644447315af0bd,23,3924.49
0249d282d911d23cb8b869ab49c99f53,12,63.57
0249d282d911d23cb8b869ab49c99f53,13,188.31
0249d282d911d23cb8b869ab49c99f53,14,245.21
0249d282d911d23cb8b869ab49c99f53,18,34.79
024b564ae893ce8e9bfa02c10a401ece,1,625.2
024b564ae893ce8e9bfa02c10a401ece,5,293.2
028872bfa080090a9d0abd4f1af168f8,11,117.87
02a2272692e13558373c66db98f05e2e,5,44.51
02a2272692e13558373c66db98f05e2e,6,49.34
02b72cdeb9cfcc429f1af6f4e3f3b737,22,173.85000000000002
02b72cdeb9cfcc429f1af6f4e3f3b737,23,574.79
02c988090b766852e088c69d7fb3b551,10,253.82999999999998
02c988090b766852e088c69d7fb3b551,11,187.43
02c988090b766852e088c69d7fb3b551,12,92.95
02c988090b766852e088c69d7fb3b551,13,131.44
02c988090b766852e088c69d7fb3b551,14,51.89
