date_key,full_date,year,quarter,month,month_name,month_index
20170224,2017-02-24,2017,1,2,February,5
20170225,2017-02-25,2017,1,2,February,5
20170226,2017-02-26,2017,1,2,February,5
20170227,2017-02-27,2017,1,2,February,5
20170228,2017-02-28,2017,1,2,February,5
20170301,2017-03-01,2017,1,3,March,6
20170302,2017-03-02,2017,1,3,March,6
20170303,2017-03-03,2017,1,3,March,6
20170304,2017-03-04,2017,1,3,March,6
20170305,2017-03-05,2017,1,3,March,6
20170306,2017-03-06,2017,1,3,March,6
20170307,2017-03-07,2017,1,3,March,6
20170308,2017-03-08,2017,1,3,March,6
20170309,2017-03-09,2017,1,3,March,6
20170310,2017-03-10,2017,1,3,March,6
20170311,2017-03-11,2017,1,3,March,6
20170312,2017-03-12,2017,1,3,March,6
20170313,2017-03-13,2017,1,3,March,6
20170314,2017-03-14,2017,1,3,March,6
20170315,2017-03-15,2017,1,3,March,6
20170316,2017-03-16,2017,1,3,March,6
20170317,2017-03-17,2017,1,3,March,6
20170318,2017-03-18,2017,1,3,March,6
20170319,2017-03-19,2017,1,3,March,6
20170320,2017-03-20,2017,1,3,March,6
20170321,2017-03-21,2017,1,3,March,6
20170322,2017-03-22,2017,1,3,March,6
20170323,2017-03-23,2017,1,3,March,6
20170324,2017-03-24,2017,1,3,March,6
20170325,2017-03-25,2017,1,3,March,6
20170326,2017-03-26,2017,1,3,March,6
20170327,2017-03-27,2017,1,3,March,6
20170328,2017-03-28,2017,1,3,March,6
20170329,2017-03-29,2017,1,3,March,6
20170330,2017-03-30,2017,1,3,March,6
20170331,2017-03-31,2017,1,3,March,6
20170401,2017-04-01,2017,2,4,April,7
20170402,2017-04-02,2017,2,4,April,7
20170403,2017-04-03,2017,2,4,April,7
20170404,2017-04-04,2017,2,4,April,7
20170405,2017-04-05,2017,2,4,April,7
20170406,2017-04-06,2017,2,4,April,7
20170407,2017-04-07,2017,2,4,April,7
20170408,2017-04-08,2017,2,4,April,7
20170409,2017-04-09,2017,2,4,April,7
20170410,2017-04-10,2017,2,4,April,7
20170411,2017-04-11,2017,2,4,April,7
20170412,2017-04-12,2017,2,4,April,7
20170413,2017-04-13,2017,2,4,April,7
20170414,2017-04-14,2017,2,4,April,7
20170415,2017-04-15,2017,2,4,April,7
20170416,2017-04-16,2017,2,4,April,7
20170417,2017-04-17,2017,2,4,April,7
20170418,2017-04-18,2017,2,4,April,7
20170419,2017-04-19,2017,2,4,April,7
20170420,2017-04-20,2017,2,4,April,7
20170421,2017-04-21,2017,2,4,April,7
20170422,2017-04-22,2017,2,4,April,7
20170423,2017-04-23,2017,2,4,April,7
20170424,2017-04-24,2017,2,4,April,7
20170425,2017-04-25,2017,2,4,April,7
20170426,2017-04-26,2017,2,4,April,7
20170427,2017-04-27,2017,2,4,April,7
20170428,2017-04-28,2017,2,4,April,7
20170429,2017-04-29,2017,2,4,April,7
20170430,2017-04-30,2017,2,4,April,7
20170501,2017-05-01,2017,2,5,May,8
20170502,2017-05-02,2017,2,5,May,8
20170503,2017-05-03,2017,2,5,May,8
20170504,2017-05-04,2017,2,5,May,8
20170505,2017-05-05,2017,2,5,May,8
20170506,2017-05-06,2017,2,5,May,8
20170507,2017-05-07,2017,2,5,May,8
20170508,2017-05-08,2017,2,5,May,8
20170509,2017-05-09,2017,2,5,May,8
20170510,2017-05-10,2017,2,5,May,8
20170511,2017-05-11,2017,2,5,May,8
20170512,2017-05-12,2017,2,5,May,8
20170513,2017-05-13,2017,2,5,May,8
20170514,2017-05-14,2017,2,5,May,8
20170515,2017-05-15,2017,2,5,May,8
20170516,2017-05-16,2017,2,5,May,8
20170517,2017-05-17,2017,2,5,May,8
20170518,2017-05-18,2017,2,5,May,8
20170519,2017-05-19,2017,2,5,May,8
20170520,2017-05-20,2017,2,5,May,8
20170521,2017-05-21,2017,2,5,May,8
20170522,2017-05-22,2017,2,5,May,8
20170523,2017-05-23,2017,2,5,May,8
20170524,2017-05-24,2017,2,5,May,8
20170525,2017-05-25,2017,2,5,May,8
20170526,2017-05-26,2017,2,5,May,8
20170527,2017-05-27,2017,2,5,May,8
20170528,2017-05-28,2017,2,5,May,8
20170529,2017-05-29,2017,2,5,May,8
20170530,2017-05-30,2017,2,5,May,8
20170531,2017-05-31,2017,2,5,May,8
20170601,2017-06-01,2017,2,6,June,9
20170602,2017-06-02,2017,2,6,June,9
20170603,2017-06-03,2017,2,6,June,9
20170604,2017-06-04,2017,2,6,June,9
20170605,2017-06-05,2017,2,6,June,9
20170606,2017-06-06,2017,2,6,June,9
20170607,2017-06-07,2017,2,6,June,9
20170608,2017-06-08,2017,2,6,June,9
20170609,2017-06-09,2017,2,6,June,9
20170610,2017-06-10,2017,2,6,June,9
20170611,2017-06-11,2017,2,6,June,9
20170612,2017-06-12,2017,2,6,June,9
20170613,2017-06-13,2017,2,6,June,9
20170614,2017-06-14,2017,2,6,June,9
20170615,2017-06-15,2017,2,6,June,9
20170616,2017-06-16,2017,2,6,June,9
20170617,2017-06-17,2017,2,6,June,9
20170618,2017-06-18,2017,2,6,June,9
20170619,2017-06-19,2017,2,6,June,9
20170620,2017-06-20,2017,2,6,June,9
20170621,2017-06-21,2017,2,6,June,9
20170622,2017-06-22,2017,2,6,June,9
